name,cases,year
AFG,2201,2020
ALB,1181,2020
DZA,2756,2020
AND,84,2020
AGO,405,2020
AIA,0,2020
ATG,5,2020
ARG,43163,2020
ARM,2823,2020
ABW,49,2020
AUS,909,2020
AUT,6222,2020
AZE,2641,2020
BHS,170,2020
BHR,352,2020
BGD,7559,2020
BRB,7,2020
BLR,1424,2020
BEL,19441,2020
BLZ,248,2020
BEN,44,2020
BMU,10,2020
BTN,0,2020
BOL,9149,2020
BIH,4050,2020
BWA,42,2020
BRA,194976,2020
BRN,3,2020
BGR,7576,2020
BFA,85,2020
BDI,2,2020
CPV,113,2020
KHM,0,2020
CMR,448,2020
CAN,15598,2020
CAF,63,2020
CYM,2,2020
TCD,104,2020
CHL,16608,2020
CHN,4634,2020
COL,43213,2020
COM,10,2020
COG,108,2020
CRI,2185,2020
HRV,3920,2020
CUB,146,2020
CUW,14,2020
CYP,119,2020
CZE,11580,2020
DNK,1298,2020
DJI,61,2020
DMA,0,2020
DOM,2414,2020
COD,591,2020
ECU,14034,2020
EGY,7631,2020
SLV,1336,2020
GNQ,86,2020
ERI,3,2020
EST,229,2020
SWZ,205,2020
ETH,1923,2020
FRO,0,2020
FLK,0,2020
FJI,2,2020
FIN,561,2020
FRA,64632,2020
GUF,71,2020
PYF,114,2020
GAB,64,2020
GMB,124,2020
GEO,2505,2020
DEU,34104,2020
GHA,335,2020
GIB,7,2020
GRC,4838,2020
GRL,0,2020
GRD,0,2020
GLP,154,2020
GTM,4813,2020
GIN,81,2020
GNB,45,2020
GUY,164,2020
HTI,236,2020
HND,3130,2020
HKG,148,2020
HUN,9537,2020
ISL,29,2020
IND,149018,2020
IDN,22138,2020
IRN,55223,2020
IRQ,12813,2020
IRL,2237,2020
IMN,25,2020
ISR,3325,2020
ITA,74159,2020
CIV,137,2020
JAM,302,2020
JPN,3414,2020
JOR,3834,2020
KAZ,2262,2020
KEN,1670,2020
KWT,934,2020
KGZ,1355,2020
LAO,0,2020
LVA,635,2020
LBN,1468,2020
LSO,51,2020
LBR,83,2020
LBY,1478,2020
LIE,39,2020
LTU,1458,2020
LUX,498,2020
MAC,0,2020
MDG,261,2020
MWI,189,2020
MYS,471,2020
MDV,48,2020
MLI,269,2020
MLT,219,2020
MHL,0,2020
MTQ,43,2020
MRT,347,2020
MUS,10,2020
MYT,55,2020
MEX,124897,2020
MDA,2985,2020
MCO,3,2020
MNG,1,2020
MNE,682,2020
MSR,1,2020
MAR,7388,2020
MOZ,166,2020
MMR,2682,2020
NAM,205,2020
NPL,1856,2020
NLD,11432,2020
NCL,0,2020
NZL,25,2020
NIC,165,2020
NER,104,2020
NGA,1289,2020
MKD,2503,2020
NOR,436,2020
OMN,1499,2020
PAK,10105,2020
PSE,1400,2020
PAN,3975,2020
PNG,9,2020
PRY,2242,2020
PER,37680,2020
PHL,9244,2020
POL,28554,2020
PRT,6906,2020
QAT,245,2020
REU,42,2020
ROU,15767,2020
RUS,57019,2020
RWA,92,2020
KOR,900,2020
KNA,0,2020
LCA,5,2020
MAF,12,2020
SPM,0,2020
WSM,0,2020
SMR,59,2020
STP,17,2020
SAU,6223,2020
SEN,410,2020
SRB,3211,2020
SYC,0,2020
SLE,76,2020
SGP,29,2020
SXM,27,2020
SVK,2138,2020
SVN,2697,2020
SLB,0,2020
SOM,130,2020
ZAF,28469,2020
SSD,63,2020
ESP,50837,2020
LKA,204,2020
VCT,0,2020
SDN,1468,2020
SUR,122,2020
SWE,8727,2020
CHE,7645,2020
SYR,711,2020
TWN,7,2020
TJK,90,2020
TZA,21,2020
THA,61,2020
TLS,0,2020
TGO,68,2020
TTO,127,2020
TUN,4676,2020
TUR,20881,2020
TCA,6,2020
ARE,669,2020
UGA,251,2020
GBR,73512,2020
UKR,18533,2020
URY,181,2020
USA,353749,2020
UZB,614,2020
VUT,0,2020
VAT,0,2020
VEN,1025,2020
VNM,35,2020
WLF,0,2020
ESH,1,2020
YEM,610,2020
ZMB,388,2020
ZWE,363,2020
